ww	ttt	Ep	Epp	Estar Predicted	Erel
1e-06	159154.94309189534	70.00041877501828	0.08685823364341705	70.00047266290909	70.00000000029415
1.1173591019485078e-06	142438.48984122727	70.00052283151473	0.09705109125056599	70.00059010893928	70.00000000373248
1.2484913627071785e-06	127477.8086944792	70.00065274209096	0.10843987854549006	70.00073673559491	70.00000003626904
1.3950131878249619e-06	114088.48638918043	70.00081492955253	0.12116483228081336	70.00091979194306	70.00000027755596
1.5587306827544244e-06	102105.47906239552	70.00101741176145	0.1353826012705937	70.00114832722716	70.00000171528254
1.7416619158620718e-06	91381.07783284581	70.00127019746044	0.15126815433558083	70.00143363755045	70.0000087547065
1.946061794205562e-06	81783.08806317578	70.00158578015807	0.16901690499756	70.00178982319669	70.00003765254485
2.174449858709829e-06	73193.19985898737	70.00197975427588	0.18884707553536795	70.00223448387906	70.0001389323567
2.429641341360079e-06	65505.52971855618	70.00247158367942	0.21100232455725287	70.00278958587874	70.0004469490818
2.7147818672390664e-06	58625.31535683047	70.00308556005568	0.2357546635312877	70.00348254329818	70.00127178421005
3.033386229164336e-06	52467.747615423425	70.00385199768365	0.26340768854762026	70.0043475658761	70.00324240827922
3.3893817128820402e-06	46956.9250601059	70.00480872236112	0.2943001536746558	70.00542733842013	70.00749257385652
3.7871565068665722e-06	42024.918379614945	70.00600292605974	0.32880991120310527	70.00677511242172	70.01585577106407
4.231613793450881e-06	37610.93305306212	70.00749347581879	0.3673582412625332	70.00845730941536	70.03101342145106
4.728232188043205e-06	33660.55996453977	70.0093537860652	0.41041458792284263	70.01055675879476	70.05653396707771
5.2831332714359835e-06	30125.104727603473	70.01167538863633	0.4585017098113385	70.01317672082654	70.09675668300565
5.903157047645993e-06	26960.987452529607	70.01457236497569	0.5122012388955882	70.01644587923286	70.1565095602436
6.595946257418745e-06	24129.20555756301	70.01818684092673	0.5721596192178655	70.02052452760397	70.24069312084667
7.3700405866900305e-06	21594.85300248172	70.02269578674566	0.6390943650381351	70.02561222046225	70.35379647494244
8.234981931268027e-06	19326.690018297173	70.02831941349247	0.7138005310245605	70.03195721294827	70.49942749081502
9.201432015283831e-06	17296.758029351804	70.03533151119781	0.7971572204546852	70.03986807181678	70.67993284557238
1.0281303813237812e-05	15480.035021139394	70.04407213219608	0.8901338638071642	70.04972790208241	70.89616072751608
1.148790839561917e-05	13854.127105730397	70.0549630806281	0.9937958705683514	70.06201169293189	71.14738799174333
1.283611900819576e-05	12398.992482874004	70.06852671869498	1.109309080230803	70.07730733385776	71.43140370331793
1.4342554407501816e-05	11096.694394176395	70.08540862864004	1.2379422007829604	70.09634087123187	71.74471866883096
1.6025783712413844e-05	9931.180025137319	70.10640465520613	1.3810661093682486	70.12000654077232	72.08285858886579
1.7906555296923757e-05	8888.082629674578	70.13249276289815	1.5401484853729512	70.14940198244713	72.44069675574595
2.0008052545562064e-05	7954.544438019137	70.16486992519742	1.7167417403582261	70.18586876161727	72.81278940460605
2.2356179624047784e-05	7119.058165049711	70.20499384571316	1.9124616031495543	70.23103779854137	73.19369205578138
2.4979880787725564e-05	6371.325165414711	70.25462859307567	2.128953038239844	70.28687843253557	73.57825848016422
2.7911497163753878e-05	5702.1284869869105	70.31589208137603	2.3678394942088086	70.35574847210465	73.96195329344677
3.118716540493036e-05	5103.219257840427	70.39130159256992	2.630650947722409	70.44044054593135	74.3412353298438
3.484726312917256e-05	4567.215006295803	70.48381106612943	2.9187261020192024	70.54421722908575	74.71407315470599
3.8936906635375676e-05	4087.508660672519	70.59683058794936	3.2330848633105247	70.67082373085083	75.08061651265164
4.350650703075626e-05	3658.187107031672	70.73421448866904	3.5742695116772527	70.82446259500415	75.4439646687253
4.8612391624802264e-05	3273.9583010084566	70.90020017446211	3.942157658221901	71.00971054567871	75.81087050516865
5.431749824945833e-05	2930.086035276532	71.0992763541323	4.335758043766028	71.23135472455482	76.19214718071858
6.069215106410441e-05	2622.3315585534665	71.33595868450264	4.753012067321017	71.49412650805077	76.60254845662232
6.781492740831088e-05	2346.901326512229	71.61445600861497	5.190639177647039	71.80231921381352	77.0599888785592
7.577362638765365e-05	2100.4002405489678	71.93822484788289	5.644080397219416	72.15929488149695	77.5841276567352
8.466635113189044e-05	1879.78979800333	72.30943635311276	6.10760569834885	72.56691693238295	78.19450362773955
9.460271806598613e-05	1682.3506379688113	72.72841786280799	6.574649001842792	73.02498732847984	78.9085213044142
0.00010570520810009837	1505.6490210130644	73.19317337053283	7.038409502945013	73.53080875646631	79.7396173283019
0.00011811067639400605	1347.5068296194452	73.69911815121581	7.492704391910606	74.07901616093065	80.69588352036506
0.00013197203930613756	1205.9747195593545	74.23916186257338	7.932981868166896	74.66180653706441	81.77931416941367
0.0001474601593214192	1079.3080912450732	74.80422534249686	8.357326824238262	75.26962893981995	82.98571877968851
0.00016476595119256486	965.9455848732252	75.38418063555643	8.767248582817917	75.8922877360218	84.30523055244538
0.00018410273525621613	864.4898342786656	75.96908887705447	9.168060082939423	76.52029659178137	85.72326586594257
0.00020570886693214977	773.6902422606333	76.55052204478824	9.568745577918838	77.1462462940651	87.22175711390943
0.00022985067481815196	692.4275650607158	77.12273240100517	9.981339840336641	77.7659501196079	88.7804862041387
0.00025682574359706903	619.7001159727653	77.68348784123499	10.419955378656427	78.37920485225973	90.37838038775186
0.00028696658222287884	554.6114180231766	78.2344957599629	10.899651383098606	78.99011790780374	91.99468864633818
0.0003206447226017888	496.3591535219219	78.78144581072739	11.435325157373756	79.60705286269202	93.61002985052102
